"gx","gy","M3Al"
850,311,451.6
850,351,418.7
849,390,935.8
849,430,1049.6
849,470,513
869,10,707.5
869,50,688.5
870,91,503.3
869,130,809.3
869,170,814.8
869,210,624.6
869,250,582.6
870,291,568
869,330,987.3
869,370,414.3
869,410,558.9
869,450,405
869,490,486.4
889,30,505.4
889,70,572.3
889,110,862
889,150,563.6
889,190,419.9
890,231,390.2
889,270,370.2
889,310,413.8
889,350,322.2
889,390,747.3
889,430,681.9
889,470,449.7
909,10,775.4
909,50,1051.2
909,90,842
911,130,1122
909,170,657.2
910,211,527.5
909,250,738
909,290,412.5
909,330,646
909,370,608.7
909,410,379.4
904,450,503.5
909,485,427.9
929,30,811.9
929,70,922.3
929,110,707.8
929,150,854.5
929,190,638
929,230,477.8
929,270,466.7
929,310,486.7
929,350,314.9
929,390,684.5
930,431,562.9
929,470,331.1
949,10,1204.4
949,50,850.4
950,91,718.4
949,130,606
949,170,631.7
950,211,621.8
949,250,634.4
949,290,357.6
949,330,628
949,370,454
949,410,758
949,450,661.6
949,490,478.6
969,30,686.4
969,70,723.4
969,110,828.9
969,150,703.4
969,190,489.6
965,231,338.1
969,270,507.3
970,311,422
969,350,474
969,390,550.5
969,430,822.4
969,470,462.1
989,10,906.3
989,50,760.9
989,90,1168.2
989,130,886.4
989,170,494.5
989,210,763.6
989,250,806.2
989,290,483.8
989,330,521.5
989,370,518.4
989,410,238
989,450,499.6
989,490,693.4
